what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1332697017709
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1332697017709
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1332697017709
os,sysinfo,,,"win32",1332697017724
arch,sysinfo,,,"x86_64",1332697017724
ws,sysinfo,,,"win32",1332697017724
locale,sysinfo,,,"de_DE",1332697017724
processors,sysinfo,,,"2",1332697017724
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332697017724
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1332697017724
java.specification.name,sysinfo,,,"Java Platform API Specification",1332697017724
java.specification.vendor,sysinfo,,,"Oracle Corporation",1332697017724
java.specification.version,sysinfo,,,"1.7",1332697017724
java.vendor,sysinfo,,,"Oracle Corporation",1332697017724
java.version,sysinfo,,,"1.7.0_03",1332697017724
java.vm.info,sysinfo,,,"mixed mode",1332697017724
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1332697017724
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332697017724
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1332697017724
java.vm.specification.version,sysinfo,,,"1.7",1332697017724
java.vm.vendor,sysinfo,,,"Oracle Corporation",1332697017724
java.vm.version,sysinfo,,,"22.1-b02",1332697017724
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1332697061048
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1332697061048
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1332697061095
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1332697061095
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1332697061110
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1332697061126
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1332697061173
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1332697061173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332697061329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332697064433
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1332697070423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1332697087193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332697087989
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1332697165131
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1332697168392
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1332697168392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332697357230
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1332697357246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332697357542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332697408289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332697418491
