what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1332697929377
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1332697929377
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1332697929377
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1332697929377
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1332697929377
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1332697929377
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1332697929377
os,sysinfo,,,"win32",1332697929377
arch,sysinfo,,,"x86_64",1332697929377
ws,sysinfo,,,"win32",1332697929377
locale,sysinfo,,,"de_DE",1332697929377
processors,sysinfo,,,"2",1332697929377
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332697929377
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1332697929377
java.specification.name,sysinfo,,,"Java Platform API Specification",1332697929377
java.specification.vendor,sysinfo,,,"Oracle Corporation",1332697929377
java.specification.version,sysinfo,,,"1.7",1332697929377
java.vendor,sysinfo,,,"Oracle Corporation",1332697929377
java.version,sysinfo,,,"1.7.0_03",1332697929377
java.vm.info,sysinfo,,,"mixed mode",1332697929377
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1332697929377
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332697929377
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1332697929377
java.vm.specification.version,sysinfo,,,"1.7",1332697929377
java.vm.vendor,sysinfo,,,"Oracle Corporation",1332697929377
java.vm.version,sysinfo,,,"22.1-b02",1332697929377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332697933745
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1332697941108
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1332697941201
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1332697941201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332697941279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1332697941295
started,bundle,org.eclipse.jgit,2.0.0.201203231811,"org.eclipse.jgit",1332697941607
started,bundle,org.eclipse.egit.core,2.0.0.201203231914,"org.eclipse.egit.core",1332697941638
started,bundle,org.eclipse.egit.ui,2.0.0.201203231914,"org.eclipse.egit.ui",1332697941701
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1332697942949
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1332697943729
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1332697943853
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1332697943916
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1332697943916
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1332697943931
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1332697943931
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1332697943947
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1332697943947
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1332697943978
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1332697943978
opened,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.targetEditor",1332697944009
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.targetEditor",1332697944056
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1332697947925
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1332698008391
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.natives",1332698009186
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1332698009186
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1332698095189
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1332698095220
error,log,,,"Provisioning exception",1332698132021
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1332698172394
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1332698177557
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.targetEditor",1332698325867
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1332698325976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332698326366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332698327193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332698368939
started,bundle,net.sf.eclipsecs.checkstyle,5.5.0.201111092104,"net.sf.eclipsecs.checkstyle",1332698370389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332698556279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1332698556326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332698558931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332698561755
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332698561848
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1332698562566
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1332698562582
error,log,,,"Invalid preference page path: XML Syntax",1332698562847
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1332698563065
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen.ecore",1332698563065
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen",1332698563065
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1332698563065
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1332698563065
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1332698563065
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1332698563065
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1332698563065
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1332698563065
stopped,bundle,org.eclipse.wb.rcp.GroupLayout,1.3.0.r37x201202010125,"org.eclipse.wb.rcp.GroupLayout",1332698563065
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.3.0.r37x201202021427,"org.eclipse.wb.rcp.SWT_AWT",1332698563065
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding.emf",1332698563081
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.rcp.databinding.xwt",1332698563081
stopped,bundle,org.eclipse.wb.rcp.databinding,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding",1332698563081
stopped,bundle,org.eclipse.wb.rcp.nebula,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.nebula",1332698563081
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.swing2swt",1332698563081
stopped,bundle,org.eclipse.wb.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.xwt",1332698563081
stopped,bundle,org.eclipse.wb.rcp,1.3.0.r37x201202010053,"org.eclipse.wb.rcp",1332698563081
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1332698563081
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1332698563081
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1332698563081
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1332698563081
